C3X_BIQ_TERRAIN_V0,12,8,48
0,0,2,2,0,0
2,0,2,2,0,0
4,0,2,6,0,0
6,0,11,11,0,0
8,0,12,12,0,0
10,0,13,13,0,0
1,1,2,2,0,0
3,1,2,2,0,0
5,1,2,6,0,0
7,1,11,11,0,0
9,1,12,12,0,0
11,1,13,13,0,0
0,2,0,0,0,0
2,2,0,0,0,0
4,2,0,6,0,0
6,2,11,11,0,0
8,2,12,12,0,0
10,2,13,13,0,0
1,3,0,0,0,0
3,3,0,0,0,0
5,3,0,6,0,0
7,3,11,11,0,0
9,3,12,12,0,0
11,3,13,13,0,0
0,4,2,2,0,0
2,4,2,2,0,0
4,4,2,5,0,0
6,4,11,11,0,0
8,4,12,12,0,0
10,4,13,13,0,0
1,5,2,2,0,0
3,5,2,2,0,0
5,5,2,5,0,0
7,5,11,11,0,0
9,5,12,12,0,0
11,5,13,13,0,0
0,6,3,3,0,0
2,6,3,3,0,0
4,6,3,3,0,0
6,6,11,11,0,0
8,6,12,12,0,0
10,6,13,13,0,0
1,7,3,3,0,0
3,7,3,3,0,0
5,7,3,3,0,0
7,7,11,11,0,0
9,7,12,12,0,0
11,7,13,13,0,0
