C3X_LAB_RESOURCE_SCENARIO_V0,16,12,35,1500c085e88425796fb150db4a96a904722d1f8b0cce1d614d46db58bc3c0b4b,lab_augmentation
1,0,5,1,0
8,0,7,1,0
10,0,2,1,1
12,0,6,1,2
7,1,7,1,1
9,1,2,1,3
10,1,1,1,4
11,1,0,1,5
7,2,7,1,2
10,2,6,1,6
12,2,7,1,3
0,3,2,1,7
4,3,2,1,8
9,3,0,1,9
15,3,3,1,10
0,4,2,1,11
9,4,1,1,12
14,4,4,1,13
3,5,2,1,14
8,5,1,1,15
9,5,1,1,16
12,5,1,1,17
2,6,4,1,18
13,6,4,1,19
15,7,7,1,4
14,8,7,1,5
6,9,0,1,20
13,9,7,1,6
2,10,5,1,21
3,10,4,1,22
4,10,3,1,23
7,10,7,1,7
12,10,7,1,8
6,11,7,1,9
0,0,3,0,999
