C3X_LAB_INFRASTRUCTURE_SCENARIO_V0,16,12,36,1500c085e88425796fb150db4a96a904722d1f8b0cce1d614d46db58bc3c0b4b,lab_augmentation
14,0,6,0,1,1,1,0
3,1,1,1,2,3,1,1
4,1,2,1,0,2,1,1
12,1,0,3,2,2,1,1
3,2,2,1,3,3,1,1
4,2,4,2,1,3,1,1
5,2,5,2,1,0,1,0
13,2,6,3,0,2,1,0
14,2,6,2,3,3,1,0
2,3,3,2,3,0,1,1
5,3,6,2,2,0,1,0
11,3,1,3,1,0,1,1
13,3,2,2,1,1,1,1
14,3,3,2,2,1,1,1
5,4,0,3,0,0,1,1
10,4,1,3,3,2,1,1
13,4,6,1,0,2,1,0
7,5,4,0,3,2,0,0
7,5,7,3,0,3,1,0
11,5,4,0,2,2,1,1
7,6,7,2,1,2,1,0
8,6,3,1,0,3,1,1
9,6,7,0,3,0,1,0
10,6,5,1,1,0,1,0
2,7,0,3,3,1,1,1
6,7,2,1,2,0,1,1
7,7,4,2,0,0,1,1
9,7,5,1,0,1,1,0
1,8,1,0,0,1,1,1
2,8,5,3,0,1,1,0
6,8,6,0,1,1,1,0
7,8,7,0,2,1,1,0
10,8,0,2,1,3,1,1
1,9,5,3,2,3,1,0
9,9,5,3,3,2,1,0
1,10,3,0,1,2,1,1
