C3X_LAB_ROAD_SCENARIO_V0,16,12,109,1500c085e88425796fb150db4a96a904722d1f8b0cce1d614d46db58bc3c0b4b,lab_augmentation
0,0,0,1,0,1,0,0
0,1,0,2,0,3,0,0
0,2,0,3,0,1,0,0
0,3,0,4,0,3,0,0
0,3,1,3,0,3,0,0
0,4,0,5,0,1,0,0
0,5,0,6,0,3,0,0
0,6,1,6,0,1,0,0
0,7,1,7,0,3,0,0
0,8,0,9,0,1,0,0
0,8,1,8,0,1,0,0
0,10,1,10,0,1,0,1
0,11,1,11,0,3,0,0
1,3,2,3,0,3,1,0
1,6,2,6,0,1,0,0
1,7,1,8,0,3,0,1
1,7,2,7,0,3,0,1
1,10,2,10,0,1,0,0
1,11,2,11,0,3,0,0
2,0,2,1,0,1,0,0
2,1,3,1,0,3,0,0
2,3,3,3,0,3,0,0
2,4,3,4,0,1,0,1
2,5,2,6,0,3,0,0
2,6,2,7,0,1,0,0
2,6,3,6,0,1,0,0
2,10,3,10,0,1,0,0
2,11,3,11,0,3,0,1
3,1,4,1,0,3,0,1
3,2,4,2,0,1,0,1
3,3,4,3,0,3,0,1
3,4,4,4,0,1,0,0
3,6,4,6,0,1,0,0
3,9,3,10,0,3,0,0
3,9,4,9,0,3,0,0
3,10,3,11,0,1,0,0
4,1,4,2,0,3,0,0
4,2,4,3,0,1,0,0
4,3,4,4,0,3,0,0
4,4,5,4,0,1,0,0
4,6,5,6,0,1,0,0
4,9,5,9,0,3,0,0
5,4,6,4,0,1,0,0
5,6,6,6,0,1,0,0
5,9,6,9,0,3,0,0
6,3,6,4,0,3,0,0
6,4,7,4,0,1,0,0
6,6,6,7,0,1,0,0
6,7,6,8,0,3,0,0
6,7,7,7,0,3,0,0
6,8,6,9,0,1,1,0
7,4,8,4,0,1,0,0
7,7,8,7,0,3,0,0
8,3,8,4,0,3,0,0
8,3,9,3,0,3,0,0
8,4,8,5,0,1,0,0
8,4,9,4,0,1,0,0
8,5,8,6,0,3,0,0
8,5,9,5,0,3,0,0
8,6,8,7,0,1,0,0
8,7,8,8,0,3,0,0
8,8,9,8,0,1,0,0
9,0,9,1,0,1,0,0
9,0,10,0,0,1,0,1
9,1,9,2,0,3,0,0
9,1,10,1,0,3,1,1
9,2,9,3,0,1,0,0
9,2,10,2,0,1,0,1
9,3,10,3,0,3,0,1
9,4,9,5,0,1,0,0
9,4,10,4,0,1,0,0
9,5,10,5,0,3,0,0
9,8,10,8,0,1,0,0
10,0,11,0,0,1,0,0
10,1,11,1,0,3,0,0
10,2,11,2,0,1,0,0
10,3,10,4,0,3,0,1
10,3,11,3,0,3,0,0
10,4,11,4,0,1,0,0
10,5,11,5,0,3,0,0
11,0,12,0,0,1,0,0
11,1,12,1,0,3,0,0
11,2,11,3,0,1,0,0
11,3,12,3,0,3,0,0
11,4,12,4,0,1,0,0
11,5,12,5,0,3,0,0
12,0,13,0,0,1,0,0
12,3,13,3,0,3,0,0
12,4,13,4,0,1,0,0
12,5,12,6,0,3,0,0
12,5,13,5,0,3,0,0
12,6,13,6,0,1,1,0
13,3,14,3,0,3,0,0
13,5,13,6,0,3,0,0
13,5,14,5,0,3,0,0
13,6,14,6,0,1,0,0
14,3,15,3,0,3,0,0
14,5,15,5,0,3,0,0
14,6,15,6,0,1,0,0
15,1,15,2,0,3,0,0
15,2,15,3,0,1,0,0
15,3,15,4,0,3,0,0
15,4,15,5,0,1,0,0
15,1,0,1,1,3,0,1
15,2,0,2,1,2,0,1
15,3,0,3,1,1,0,1
15,4,0,4,1,0,0,1
15,5,0,5,1,3,0,0
15,6,0,6,1,2,0,0
