C3X_BIQ_TERRAIN_WINDOW_V2,12,10,120,40,40,160,160,104
0,0,40,40,13,13,0,0,0
1,0,41,41,13,13,0,0,0
2,0,42,42,13,13,0,0,0
3,0,43,43,12,12,0,0,0
4,0,44,44,12,12,0,0,0
5,0,45,45,12,12,0,0,0
6,0,46,46,12,12,0,0,0
7,0,47,47,12,12,0,0,0
8,0,48,48,12,12,0,0,0
9,0,49,49,12,12,0,0,0
10,0,50,50,13,13,0,0,0
11,0,51,51,13,13,0,0,0
0,1,41,39,13,13,0,0,0
1,1,42,40,12,12,0,0,0
2,1,43,41,12,12,0,0,0
3,1,44,42,11,11,0,0,0
4,1,45,43,11,11,0,0,0
5,1,46,44,11,11,0,0,0
6,1,47,45,11,11,0,0,0
7,1,48,46,11,11,0,0,0
8,1,49,47,11,11,0,0,0
9,1,50,48,12,12,0,0,0
10,1,51,49,12,12,0,0,0
11,1,52,50,13,13,0,0,0
0,2,42,38,12,12,0,0,0
1,2,43,39,12,12,0,0,0
2,2,44,40,11,11,0,0,0
3,2,45,41,2,5,0,0,0
4,2,46,42,2,5,0,0,0
5,2,47,43,2,2,0,0,0
6,2,48,44,2,2,0,0,0
7,2,49,45,2,2,0,0,0
8,2,50,46,2,5,0,0,0
9,2,51,47,11,11,0,0,0
10,2,52,48,11,11,0,0,0
11,2,53,49,12,12,0,0,0
0,3,43,37,12,12,0,0,0
1,3,44,38,11,11,0,0,0
2,3,45,39,2,5,0,0,0
3,3,46,40,2,5,0,0,0
4,3,47,41,2,5,0,0,0
5,3,48,42,2,2,0,0,0
6,3,49,43,2,2,0,0,0
7,3,50,44,2,2,0,0,0
8,3,51,45,2,5,0,0,0
9,3,52,46,11,11,0,0,0
10,3,53,47,11,11,0,0,0
11,3,54,48,12,12,0,0,0
0,4,44,36,12,12,0,0,0
1,4,45,37,11,11,0,0,0
2,4,46,38,2,5,0,0,0
3,4,47,39,2,5,0,0,0
4,4,48,40,2,5,0,0,0
5,4,49,41,2,2,0,0,0
6,4,50,42,2,5,0,0,0
7,4,51,43,2,5,0,0,0
8,4,52,44,2,2,0,0,0
9,4,53,45,11,11,0,0,0
10,4,54,46,11,11,0,0,0
11,4,55,47,11,11,0,0,0
0,5,45,35,12,12,0,0,0
1,5,46,36,11,11,0,0,0
2,5,47,37,2,2,0,0,0
3,5,48,38,2,2,0,0,0
4,5,49,39,2,2,0,0,0
5,5,50,40,2,2,0,0,0
6,5,51,41,2,5,0,0,0
7,5,52,42,2,5,0,0,0
8,5,53,43,2,2,0,0,0
9,5,54,44,11,11,0,0,0
10,5,55,45,11,11,0,0,0
11,5,56,46,11,11,0,0,0
0,6,46,34,12,12,0,0,0
1,6,47,35,11,11,0,0,0
2,6,48,36,11,11,0,0,0
3,6,49,37,2,2,0,0,0
4,6,50,38,2,2,0,0,0
5,6,51,39,2,2,0,0,0
6,6,52,40,2,5,0,0,0
7,6,53,41,2,5,0,0,0
8,6,54,42,2,2,0,0,0
9,6,55,43,2,2,0,0,0
10,6,56,44,11,11,0,0,0
11,6,57,45,12,12,0,0,0
0,7,47,33,12,12,0,0,0
1,7,48,34,12,12,0,0,0
2,7,49,35,11,11,0,0,0
3,7,50,36,11,11,0,0,0
4,7,51,37,11,11,0,0,0
5,7,52,38,2,2,0,0,0
6,7,53,39,2,2,0,0,0
7,7,54,40,2,2,0,0,0
8,7,55,41,2,2,0,0,0
9,7,56,42,2,2,0,0,0
10,7,57,43,2,2,0,0,0
11,7,58,44,12,12,0,0,0
0,8,48,32,13,13,0,0,0
1,8,49,33,12,12,0,0,0
2,8,50,34,12,12,0,0,0
3,8,51,35,11,11,0,0,0
4,8,52,36,11,11,0,0,0
5,8,53,37,11,11,0,0,0
6,8,54,38,11,11,0,0,0
7,8,55,39,11,11,0,0,0
8,8,56,40,11,11,0,0,0
9,8,57,41,12,12,0,0,0
10,8,58,42,12,12,0,0,0
11,8,59,43,13,13,0,0,0
0,9,49,31,13,13,0,0,0
1,9,50,32,13,13,0,0,0
2,9,51,33,12,12,0,0,0
3,9,52,34,12,12,0,0,0
4,9,53,35,12,12,0,0,0
5,9,54,36,12,12,0,0,0
6,9,55,37,12,12,0,0,0
7,9,56,38,12,12,0,0,0
8,9,57,39,12,12,0,0,0
9,9,58,40,12,12,0,0,0
10,9,59,41,13,13,0,0,0
11,9,60,42,13,13,0,0,0
-2,-2,36,40,13,13,0,0,0
-1,-2,37,41,13,13,0,0,0
0,-2,38,42,13,13,0,0,0
1,-2,39,43,13,13,0,0,0
2,-2,40,44,13,13,0,0,0
3,-2,41,45,13,13,0,0,0
4,-2,42,46,13,13,0,0,0
5,-2,43,47,13,13,0,0,0
6,-2,44,48,13,13,0,0,0
7,-2,45,49,13,13,0,0,0
8,-2,46,50,13,13,0,0,0
9,-2,47,51,13,13,0,0,0
10,-2,48,52,13,13,0,0,0
11,-2,49,53,13,13,0,0,0
12,-2,50,54,13,13,0,0,0
13,-2,51,55,13,13,0,0,0
-2,-1,37,39,13,13,0,0,0
-1,-1,38,40,13,13,0,0,0
0,-1,39,41,13,13,0,0,0
1,-1,40,42,13,13,0,0,0
